Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle in/external rotation angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Hip flex/extension angle,Hip in/external rotation angle,Hip in/external rotation moment,Knee flex/extension angle,Knee in/external rotation angle,Ipsi/contralateral pelvis rotation,EMG activation for peroneus longus
5.709450985,12.1979,1.76541,-18.6326,2.05709,0.0424834,20.7113,0.186004,-4.39407,9.64155,7.64366,-0.0436778,34.4867,10.95,-5.14328,0.85065252
16.48719525,8.69441,1.55352,-16.8389,1.71977,0.0257324,18.7528,0.22386,-4.1008,7.3223,8.24184,-0.0405219,32.3628,8.92453,-4.90749,0.839181035
18.67624035,8.47956,3.78207,-38.4688,2.22632,-0.194979,-10.2348,0.0190613,1.13834,24.1544,15.916,-0.0789799,30.2234,11.2464,-5.35466,0.993699474
8.010338991,10.4081,3.77775,-38.4384,2.48697,-0.190865,-11.1212,0.0331949,0.948462,23.1405,15.3162,-0.0853512,31.1009,12.184,-5.51573,0.994597716
5.607809548,12.2422,3.76209,-38.3277,2.74829,-0.185558,-11.7399,0.150657,0.826641,22.1231,14.5818,-0.103016,31.9124,13.2014,-5.69126,0.99534839
5.427599793,14.2988,2.82179,-31.0366,3.73872,-0.0537765,21.5527,0.12855,-5.95547,3.56423,6.12621,-0.0503291,26.3179,18.6224,-7.25545,0.977909663
7.677288813,11.8609,2.69127,-29.9208,3.47724,-0.0420388,24.0193,0.119993,-6.06282,1.61725,6.12884,-0.0362149,24.5307,17.6182,-7.17623,0.96675863
18.13459374,9.0304,2.55422,-28.7215,3.157,-0.0322856,25.1341,0.105742,-6.0447,-0.363436,6.20037,-0.0196626,22.6356,16.4664,-7.06481,0.954818427
2.277309053,24.5874,-1.98626,3.09154,2.03513,-0.149752,18.7748,0.238579,-5.12484,-4.86173,-4.18148,0.0632201,21.8745,-3.43347,-8.76856,0.940583186
2.521392384,21.54,-2.21296,4.04108,1.87603,-0.127989,18.3649,0.126987,-4.82645,-6.6574,-4.61041,0.0578592,20.7699,-3.92946,-8.65388,0.924044546
2.905988215,18.3055,-2.41194,4.87262,1.69008,-0.110941,17.0946,0.00763796,-4.43818,-8.37364,-4.99125,0.0490885,19.8355,-4.40155,-8.55671,0.906674819
3.519924362,14.9767,-2.57783,5.56429,1.44475,-0.0961445,14.7073,-0.086745,-3.89779,-9.99881,-5.31916,0.0405989,19.091,-4.84033,-8.48113,0.888758949
4.901873449,11.6569,-2.70638,6.09914,1.15584,-0.0845595,11.5476,-0.167277,-3.24111,-11.5223,-5.5897,0.0322246,18.5533,-5.23686,-8.42987,0.867002268
13.38361279,8.45054,-2.79508,6.46755,0.847673,-0.0714551,8.09392,-0.186801,-2.4803,-12.9351,-5.79889,0.0268125,18.2369,-5.58321,-8.40434,0.841808446
1.989832721,26.5698,3.74091,-36.0054,2.25208,0.342992,16.2391,0.773634,-4.65677,10.4315,26.5581,-0.0510768,31.4841,13.3922,-13.9869,0.882881698
2.069657071,23.5855,3.63657,-35.2722,2.00061,0.305996,16.5059,0.644216,-4.49306,8.75251,26.7678,-0.0445193,30.2711,12.26,-14.073,0.861837937
2.217161995,20.1825,3.48568,-34.1878,1.7157,0.263257,15.8829,0.544455,-4.1994,7.1557,26.7476,-0.0402733,29.0982,10.9988,-14.1111,0.839443455
2.543386094,16.4105,3.29033,-32.7409,1.41037,0.21506,14.3602,0.452985,-3.73677,5.60859,26.5297,-0.0354646,27.9191,9.61831,-14.1031,0.81504082
3.49887734,12.3422,3.05729,-30.9511,1.0896,0.164392,11.9246,0.351059,-3.10711,4.07478,26.1464,-0.0254879,26.6888,8.14865,-14.0529,0.788325225
16.13315104,8.07155,2.79723,-28.8709,0.788333,0.113117,9.0323,0.225248,-2.3904,2.52032,25.6251,-0.00978342,25.3742,6.64086,-13.9662,0.760151329
10.75031699,8.90313,4.50137,-27.6233,0.775196,0.178745,-4.20038,-0.605572,0.743358,38.1957,23.5086,-0.18689,42.971,-4.0349,-1.13711,0.99808681
